Name,Known For
Advani Lakshmi Devi,Gandhada Gudi
Aindrita Ray,Bhajarangi
Amy Jackson,2
Ambika,Kakkothi Kaavile Appoppan Thaadikal
Anu Prabhakar,Mussanje Maathu
Asha Sharath,Drishyam
Asha Negi,Pavitra Rishta
Bhanupriya,Swarnakamalam
Deepika Padukone,Yeh Jawaani Hai Deewani
Darshan Thoogudeep,Kraanthiveera Sangolli Raayanna
Sudeep,Eega
Yash,K.G.F: Chapter 1
Puneeth Rajkumar,Jackie
Shivarajkumar,Om
